ID,Tweets (text),Emotions (Multi-labeled)
2294,Was lucky enough to watch @iam_tmrw1 play in an allstar game tonight. I'm grateful and proud to know this great character person. I admire his persistence in life in whatever he does especially as a father..can't wait to see what the future holds for him ,"admiration, pride, joy, hope"
2295,Solidarity from Ireland! We are proud to support Raif in his struggle for secularism and free speech. We admire your bold efforts to secure his freedom. ,"admiration, pride"
2296,We love them not because to what they are but who they are. We admire their acting prowess & we are proud of the humility & humanity. ,"admiration, pride, love"
2297,"The amount of talent and professionalism that you embody is something that I admire so much. I am so proud of you, Park Chaeyoung. I cant wait for the gifts that you will still share with us. I love you! ","admiration, pride, love"
2298,"Another thing I deeply admire about sekai is their professionalism. They really put so much effort and all their heart for the stages they'll step on, even before performing. Proud of my boys ","admiration, pride"
2299,hi twitter I’m rlly proud of the charcuterie board I threw together tonight pls admire it with me ,"admiration, pride"
2300,"wh went through a lot :( i’m just so glad and proud he’s made it this far and achieved his dreams. I admire him and his passion so much :( i hope he has no worries anymore, live his life to the fullest and be blessed with good health forever ","admiration, pride, joy, hope"
2301,He’s proud to say the reasons why she admire Ashley. ,"admiration, pride"
2302,"I admire this man 24/7, he's one of my greatest inspirations and I'm so proud to have a leader like him ","admiration, pride"
2303,"My baby ashley ,I always admire how strong you are. You're hardworking, patient and optimistic in everything you trustttp://do.Trust the Lord, He will renew your strength and open the door to your http://success.Im always here to support you. I am so proud of you. ","admiration, pride"
2304,"i'm thankful of myself, i admire myself, my self esteem is rising, so i'm so proud of myself. i want to compliment myself a lot today. ","admiration, pride"
2305,"How is this still happening?! Everytime I talk to one of my clients, I see that they are nervous, they don’t know what to expect, scared. ","fear, anger"
2306,"I’m really scared, what should I expect from their new MV?  There's light at the end of this tunnel.","fear, hope"
2307,The EU is scared of a few Turks they expect Kurdish women to defend us all ,"hope, fear"
2308,No kidding im kinda scared and expect something more than last cb pre-orders since the announcement ,"hope, fear"
2309,He's s white supremacist. This was all for show. Expect him to ramp up his sudden love for black people. He's scared if they vote he will lose. He will lose if they vote. They have the power to help ensure hes out ,"hope, fear"
2310,scared but hopeful ,"hope, fear"
2311,There is something I’m very scared of and hopeful of. I’m scared to feel that the people I love aren’t happy and I hope to feel that the people I love are happy. ,"hope, fear, love"
2312,"I wrote about the new faces of the climate movement, who are scared, angry, and hopeful all at once. ","hope, fear, anger"
2313,"The last 2 years have been amazing. I have learned SO much about what was really going on around me. Ive been scared, Ive been saddened, it has made me sick. I feel enlightened now though, and VERY hopeful. Thank you for being one of the people to shine some light during this ","hope, fear, sadness, joy"
2314,"I’m half scared, half hopeful. You just don’t know who’s firmly seated on the corruption train and who’s not. ","hope, fear"
2315,Yall calling to add to my tension should also understand I'm under stress. I'm as scared as yall but I'm hopeful ,"hope, fear"
2316,I’ve never been more scared but hopeful for my future ,"hope, fear"
2317,"How are we feeling? I am more hopeful than ever. It's snowballing. The presinept is scared, throwing ppl under the bus. I think this is it! ","hope, fear"
2318,"Today I go back to court for custody. I’m scared but hopeful, and i continue to be in awe of the strength I find inside. ","hope, fear"
2319,There is and will be fear; there is and will be trauma; there is and will be hope. I am scared & traumatized in my organizing every day. And also I am hopeful. Because we are building and building and learning and learning and more and more people are joining us every day. ,"hope, fear"
2320,"Oscar has such a positive outlook on life and constantly wishes and brings positive things into existence. I, on the other hand, am a negative Nancy when it comes to being hopeful. I’m scared to be let down so I always think the worst. Definitely something I need major work on! ","hope, fear"
2321,Support I've received through this process and even though it's overwhelming I'm still so hopeful and committed to getting through this final stretch with as much positivity and joy as I can. Am I still scared? Yes. Am I still going to enjoy every second? You bet. ,"hope, fear"
2322,"It’s natural to feel sad, scared, and angry in the wake of mass shootings. But there is still cause to be hopeful. Here are some stories that point to promising strategies for reducing gun deaths in America: ","hope, fear, sadness, anger"
2323,"After writing for over six years, I just submitted my first six queries today! I’m so scared but I am hopeful that I’ll get personalized rejections from one or two. ","hope, fear"
2324,"This comes at a time when the trans community needs responses like this. I've been so scared to speak out about some things lately because of the abuse and silencing of trans voices on twitter. It makes me feel like a coward for not saying something, but it feels hopeful to see ","hope, fear"
